"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0023037010","0240","2011-08-17T01:10:00.000","0","PUERTO SALGAR - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5.469666667","-74.66216667","Precipitacion","mm"
"0021257120","0240","2018-06-15T08:40:00.000","0","PUENTE NEGRO  - AUT","TOLIMA","VILLAHERMOSA","ALTO MAGDALENA","4.940194444","-75.08980556","Precipitacion","mm"
"0021215501","0240","2016-08-25T11:25:00.000","0","ESPERANZA LA  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.45","-75.25","Precipitacion","mm"
"0021257120","0240","2008-08-20T13:20:00.000","0","PUENTE NEGRO  - AUT","TOLIMA","VILLAHERMOSA","ALTO MAGDALENA","4.940194444","-75.08980556","Precipitacion","mm"
"0023097030","0240","2018-09-17T12:50:00.000","0","PTO BERRIO TX GPRS","ANTIOQUIA","PUERTO BERRÍO","MEDIO MAGDALENA","6.485","-74.401","Precipitacion","mm"
"0021015050","0240","2007-08-08T02:30:00.000","0","PURACE  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.925916667","-76.42755556","Precipitacion","mm"
"0024035390","0240","2015-06-24T14:50:00.000","0","PARAMO ALMORZADERO  - AUT","SANTANDER","CERRITO","SOGAMOSO","6.945388889","-72.69633333","Precipitacion","mm"
"0023065503","0240","2018-08-21T16:40:00.000","0","EL MIRADOR  - AUT","CUNDINAMARCA","SASAIMA","MEDIO MAGDALENA","4.95","-74.4","Precipitacion","mm"
"0021257120","0240","2015-10-02T23:20:00.000","0","PUENTE NEGRO  - AUT","TOLIMA","VILLAHERMOSA","ALTO MAGDALENA","4.940194444","-75.08980556","Precipitacion","mm"
"0024025090","0240","2019-06-19T14:40:00.000","0","MOGOTES - AUT","SANTANDER","MOGOTES","SOGAMOSO","6.47","-72.96888889","Precipitacion","mm"
"0021185501","0240","2018-07-26T20:35:00.000","0","ROVIRA  - AUT","TOLIMA","ROVIRA","ALTO MAGDALENA","4.266666667","-75.28305556","Precipitacion","mm"
"0011175000","0240","2019-06-01T17:00:00.000","0","PR CHOCO: ATRATO","CHOCÓ","EL ATRATO","ATRATO - DARIÉN","5.529","-76.634","Precipitacion","mm"
"0016017030","0240","2011-09-14T03:50:00.000","0","LA UCHEMA - En Siniestro","NORTE DE SANTANDER","VILLA DEL ROSARIO","CATATUMBO","7.694","-72.474","Precipitacion","mm"
"0052055210","0240","2018-08-30T17:20:00.000","0","BOTANA - AUT","NARIÑO","PASTO","PATÍA","1.16","-77.27880556","Precipitacion","mm"
"0035235040","0240","2018-07-06T14:10:00.000","0","PERENCO - TRINIDAD METEO","CASANARE","TRINIDAD","<nil>","5.419","-71.666","Precipitacion","mm"
"0023195230","0240","2013-09-01T06:10:00.000","0","NEOMUNDO - AUT","SANTANDER","BUCARAMANGA","MEDIO MAGDALENA","7.102611111","-73.10730556","Precipitacion","mm"
"0044035501","0240","2018-06-22T08:05:00.000","0","PAUJIL  - AUT","CAQUETA","EL PAUJIL","CAQUETÁ","1.573819444","-75.3402","Precipitacion","mm"
"0021206960","0240","2017-09-25T03:50:00.000","0","IDEAM BOGOTA  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.6","-74.06666667","Precipitacion","mm"
"0021217180","0240","2014-03-10T07:40:00.000","0","MONTEZUMA - RIO COMBEIMA","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.482","-75.286","Precipitacion","mm"
"0026207080","0240","2018-07-18T21:00:00.000","0","BOLOMBOLO - AUT","ANTIOQUIA","VENECIA","CAUCA","5.965944444","-75.84147222","Precipitacion","mm"
"0013057010","0240","2011-05-10T05:40:00.000","0","NUEVA COLOMBIA","CÓRDOBA","MONTERÍA","SINÚ","8.499","-75.979","Precipitacion","mm"
"0017017001","0240","2013-04-21T23:50:00.000","0","JHONNY CAY","SAN ANDRÉS PROVIDENCIA","SAN ANDRÉS","ISLAS CARIBE","12.599","-81.689","Precipitacion","mm"
"0021206940","0240","2010-07-02T09:30:00.000","0","CIUDAD BOLIVAR","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.577","-74.177","Precipitacion","mm"
"0021195190","0240","2007-05-17T05:10:00.000","0","PASCA - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.310111111","-74.31175","Precipitacion","mm"
"0021015050","0240","2019-04-08T23:40:00.000","0","PURACE  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.925916667","-76.42755556","Precipitacion","mm"
